questions,answers,questions_with_answers,entity,image_ids
"View of the storm looking northeast from downtown Chandler , sent in by Serafinn Burciaga http://t.co/Y0V0AKsNEz Which word(s) correspond to the location in the sentence? ",Chandler,"View of the storm looking northeast from downtown Chandler , sent in by Serafinn Burciaga http://t.co/Y0V0AKsNEz Which word(s) correspond to the location in the sentence? Answer: Chandler",location,421972.jpg
Our Yellowknife team ! @MarkHeyck http://t.co/o7fs0OxLT3 Which word(s) correspond to the organization in the sentence? ,Yellowknife,Our Yellowknife team ! @MarkHeyck http://t.co/o7fs0OxLT3 Which word(s) correspond to the organization in the sentence? Answer: Yellowknife,organization,796341.jpg
"Project manager Mark Jansheski , brother of owner John , explaining that the house will start to move at 1 p . m . http://t.co/k9NH1z2Lib Which word(s) correspond to the person in the sentence? ",Mark Jansheski,"Project manager Mark Jansheski , brother of owner John , explaining that the house will start to move at 1 p . m . http://t.co/k9NH1z2Lib Which word(s) correspond to the person in the sentence? Answer: Mark Jansheski",person,63164.jpg
RT @washburnt : Guangzhou in one photo : http://t.co/wxiTP2zXah Which word(s) correspond to the location in the sentence? ,Guangzhou,RT @washburnt : Guangzhou in one photo : http://t.co/wxiTP2zXah Which word(s) correspond to the location in the sentence? Answer: Guangzhou,location,1794019.jpg
RT @msnbc : Americans view Hillary Clinton more unfavorably than they did a month ago : http://t.co/C492wlYbqB (Getty) http://t.co/O4g7X1tg45 Which word(s) correspond to the person in the sentence? ,Hillary,RT @msnbc : Americans view Hillary Clinton more unfavorably than they did a month ago : http://t.co/C492wlYbqB (Getty) http://t.co/O4g7X1tg45 Which word(s) correspond to the person in the sentence? Answer: Hillary,person,33119.jpg
Everyone ready to start ghost hunting at Combe Gibbet ! ! http://t.co/oqYPUoxr Which word(s) correspond to the location in the sentence? ,Combe Gibbet,Everyone ready to start ghost hunting at Combe Gibbet ! ! http://t.co/oqYPUoxr Which word(s) correspond to the location in the sentence? Answer: Combe Gibbet,location,1084260.jpg
RT @FightsOnVine : CNN TOO WILD http://t.co/vqxdjvn28a Which word(s) correspond to the organization in the sentence? ,CNN,RT @FightsOnVine : CNN TOO WILD http://t.co/vqxdjvn28a Which word(s) correspond to the organization in the sentence? Answer: CNN,organization,529977.jpg
RT @ptbo _ com : Selwyn township publishes their February newsletter http://t.co/MIroNjJpSm @SelwynTownship http://t.co/2iaEE5DeA1 Which word(s) correspond to the person in the sentence? ,Selwyn,RT @ptbo _ com : Selwyn township publishes their February newsletter http://t.co/MIroNjJpSm @SelwynTownship http://t.co/2iaEE5DeA1 Which word(s) correspond to the person in the sentence? Answer: Selwyn,person,929240.jpg
RT @Zelenaakcija : . @Credit _ Agricole is locking #Croatia into 40 more years of fossil fuels #StopPlominC #PlominC http://t.co/FTBfSqzNpl Which word(s) correspond to the location in the sentence? ,#Croatia,RT @Zelenaakcija : . @Credit _ Agricole is locking #Croatia into 40 more years of fossil fuels #StopPlominC #PlominC http://t.co/FTBfSqzNpl Which word(s) correspond to the location in the sentence? Answer: #Croatia,location,115853.jpg
RT @wemssecnirp : Now I really am like Cleopatra #hypnotizing #findom #goddess http://t.co/ijUZdlpsr8 Which word(s) correspond to the person in the sentence? ,Cleopatra,RT @wemssecnirp : Now I really am like Cleopatra #hypnotizing #findom #goddess http://t.co/ijUZdlpsr8 Which word(s) correspond to the person in the sentence? Answer: Cleopatra,person,758256.jpg
RT @WRCB : South Carolina House votes to remove Confederate flag from Capitol grounds http://t.co/iponSPS0AK http://t.co/AbNozICfF0 Which word(s) correspond to the organization in the sentence? ,South House Carolina,RT @WRCB : South Carolina House votes to remove Confederate flag from Capitol grounds http://t.co/iponSPS0AK http://t.co/AbNozICfF0 Which word(s) correspond to the organization in the sentence? Answer: South House Carolina,organization,384882.jpg
Where is Nadine ? http://t.co/MJ2egfi7Tr Which word(s) correspond to the person in the sentence? ,Nadine,Where is Nadine ? http://t.co/MJ2egfi7Tr Which word(s) correspond to the person in the sentence? Answer: Nadine,person,1777534.jpg
RT @WalesRugby : The remarkable haka tribute the Baby Blacks paid to Jerry Collins this weekend http://t.co/Kf9qb8Oy0V http://t.co/O0kBIZ8jdG Which word(s) correspond to the organization in the sentence? ,Baby Blacks,RT @WalesRugby : The remarkable haka tribute the Baby Blacks paid to Jerry Collins this weekend http://t.co/Kf9qb8Oy0V http://t.co/O0kBIZ8jdG Which word(s) correspond to the organization in the sentence? Answer: Baby Blacks,organization,90063.jpg
RT @Atlantafollowme : The new Hollywood http://t.co/KWLPgXXDrq Which word(s) correspond to the location in the sentence? ,Hollywood,RT @Atlantafollowme : The new Hollywood http://t.co/KWLPgXXDrq Which word(s) correspond to the location in the sentence? Answer: Hollywood,location,21231.jpg
He always knew you were meant for great things . Martha Kent #MANOFSTEEL http://t.co/kw68O8AuMa Which word(s) correspond to the person in the sentence? ,Martha Kent,He always knew you were meant for great things . Martha Kent #MANOFSTEEL http://t.co/kw68O8AuMa Which word(s) correspond to the person in the sentence? Answer: Martha Kent,person,253776.jpg
RT @Independent : BREAKING : A terror plot to attack churches has been foiled in Paris http://t.co/flBXjdwzSL http://t.co/MQT6bSsMdx Which word(s) correspond to the location in the sentence? ,Paris,RT @Independent : BREAKING : A terror plot to attack churches has been foiled in Paris http://t.co/flBXjdwzSL http://t.co/MQT6bSsMdx Which word(s) correspond to the location in the sentence? Answer: Paris,location,35856.jpg
Luther College message on info literacy . @bookbagsara might add to your repertoire ! http://t.co/MQDSXsPyqd Which word(s) correspond to the organization in the sentence? ,Luther College,Luther College message on info literacy . @bookbagsara might add to your repertoire ! http://t.co/MQDSXsPyqd Which word(s) correspond to the organization in the sentence? Answer: Luther College,organization,196619.jpg
"Congrats @TylerKehoe1 , #SnowJam champ in MOD ! A class act , he split his win w/ buds Aaron Rudderham &amp ; Travis Sabine ! http://t.co/lL698AnZCd Which word(s) correspond to the misceallonous entity in the sentence? ",MOD,"Congrats @TylerKehoe1 , #SnowJam champ in MOD ! A class act , he split his win w/ buds Aaron Rudderham &amp ; Travis Sabine ! http://t.co/lL698AnZCd Which word(s) correspond to the misceallonous entity in the sentence? Answer: MOD",misceallonous entity,1295130.jpg
"RT @TheCIassicJams : \ Meanwhile , John Legend really living by his last name http://t.co/YzMXLxsKry Which word(s) correspond to the person in the sentence? ",John Legend,"RT @TheCIassicJams : \ Meanwhile , John Legend really living by his last name http://t.co/YzMXLxsKry Which word(s) correspond to the person in the sentence? Answer: John Legend",person,502857.jpg
"Chris Sale records another strikeout , but he ' s only at four in the 7th inning http://t.co/akZL8h4iQV http://t.co/UP5XWj4NxI Which word(s) correspond to the person in the sentence? ",Chris Sale,"Chris Sale records another strikeout , but he ' s only at four in the 7th inning http://t.co/akZL8h4iQV http://t.co/UP5XWj4NxI Which word(s) correspond to the person in the sentence? Answer: Chris Sale",person,70720.jpg
One is a former Dem Senator that was never charged with a crime despite defrauding people . The other is Jon Corzine . http://t.co/6C8QarYMjy Which word(s) correspond to the person in the sentence? ,Dem Senator,One is a former Dem Senator that was never charged with a crime despite defrauding people . The other is Jon Corzine . http://t.co/6C8QarYMjy Which word(s) correspond to the person in the sentence? Answer: Dem Senator,person,1097769.jpg
"RT @KPerham : Ride near Bath Maine ? Watch out for this dude . He will assault you and call you a "" fag "" ( many times ) ! http://t.co/YSZ5kz4j6E Which word(s) correspond to the location in the sentence? ",Bath Maine,"RT @KPerham : Ride near Bath Maine ? Watch out for this dude . He will assault you and call you a "" fag "" ( many times ) ! http://t.co/YSZ5kz4j6E Which word(s) correspond to the location in the sentence? Answer: Bath Maine",location,1052805.jpg
RT @lhadon : Gov Deval Patrick declares March 10th #Tibet Day in Massachusetts . Thank you @MassGovernor ! #Boston http://t.co/rm3GabZxm2 Which word(s) correspond to the person in the sentence? ,Deval Patrick,RT @lhadon : Gov Deval Patrick declares March 10th #Tibet Day in Massachusetts . Thank you @MassGovernor ! #Boston http://t.co/rm3GabZxm2 Which word(s) correspond to the person in the sentence? Answer: Deval Patrick,person,8801.jpg
RT @SoSoGay : Sam will interview no matter how much you protest http://t.co/w4dleNqd7X Which word(s) correspond to the person in the sentence? ,Sam,RT @SoSoGay : Sam will interview no matter how much you protest http://t.co/w4dleNqd7X Which word(s) correspond to the person in the sentence? Answer: Sam,person,115904.jpg
RT @LevRaphael : Sarah Palin : Immigrants Should Speak American http://t.co/u74hLAzo1L #sarahpalin #English #notsatire http://t.co/1BuaSTbLwb Which word(s) correspond to the person in the sentence? ,Sarah Palin,RT @LevRaphael : Sarah Palin : Immigrants Should Speak American http://t.co/u74hLAzo1L #sarahpalin #English #notsatire http://t.co/1BuaSTbLwb Which word(s) correspond to the person in the sentence? Answer: Sarah Palin,person,541332.jpg
RT @TheCIassicJams : J Cole why must you be so genius http://t.co/X0DXiWtosL Which word(s) correspond to the person in the sentence? ,J Cole,RT @TheCIassicJams : J Cole why must you be so genius http://t.co/X0DXiWtosL Which word(s) correspond to the person in the sentence? Answer: J Cole,person,32086.jpg
"RT @EarthPix : Open Ceiling Cave in Na Pali , Hawaii | Photo by Nainoa Makana Kapono http://t.co/lQYN7ndGfY Which word(s) correspond to the location in the sentence? ",Na Pali,"RT @EarthPix : Open Ceiling Cave in Na Pali , Hawaii | Photo by Nainoa Makana Kapono http://t.co/lQYN7ndGfY Which word(s) correspond to the location in the sentence? Answer: Na Pali",location,626522.jpg
UPDATE : 19 year old Jhymiere Moore of #Paterson arrested for murder of 12 year old #GenesisRincon #JusticeForGenesis http://t.co/Rrz8R3UZiF Which word(s) correspond to the person in the sentence? ,Jhymiere Moore,UPDATE : 19 year old Jhymiere Moore of #Paterson arrested for murder of 12 year old #GenesisRincon #JusticeForGenesis http://t.co/Rrz8R3UZiF Which word(s) correspond to the person in the sentence? Answer: Jhymiere Moore,person,598516.jpg
Amy Purdy has an awesome URL http://t.co/yhzlxXKuOX Which word(s) correspond to the person in the sentence? ,Amy Purdy,Amy Purdy has an awesome URL http://t.co/yhzlxXKuOX Which word(s) correspond to the person in the sentence? Answer: Amy Purdy,person,141344.jpg
Looking forward to watching England v Honduras tonight live at CF . . . . . . Your cold beer is waiting for u : ) http://t.co/cGn4fS3q38 Which word(s) correspond to the organization in the sentence? ,England,Looking forward to watching England v Honduras tonight live at CF . . . . . . Your cold beer is waiting for u : ) http://t.co/cGn4fS3q38 Which word(s) correspond to the organization in the sentence? Answer: England,organization,322679.jpg
Moesgaard Museum and SDU Campus Kolding have been awarded The International Architecture Award http://t.co/emgDfDZjbt http://t.co/UqDwoZKndu Which word(s) correspond to the location in the sentence? ,Moesgaard Museum,Moesgaard Museum and SDU Campus Kolding have been awarded The International Architecture Award http://t.co/emgDfDZjbt http://t.co/UqDwoZKndu Which word(s) correspond to the location in the sentence? Answer: Moesgaard Museum,location,1075863.jpg
RT @DrAlfredMutua : Congratulations to Julius Yego for winning the javelin gold medal for #TeamKenya #Beijing2015 http://t.co/l0koiOMuy4 Which word(s) correspond to the person in the sentence? ,Julius Yego,RT @DrAlfredMutua : Congratulations to Julius Yego for winning the javelin gold medal for #TeamKenya #Beijing2015 http://t.co/l0koiOMuy4 Which word(s) correspond to the person in the sentence? Answer: Julius Yego,person,1752962.jpg
"RT @dr _ morton : Much like Carl Sagan , I believe in Magic . . . Have an #AWESOME Day ! ; - ) http://t.co/fNSIAuczSk Which word(s) correspond to the person in the sentence? ",Carl Sagan,"RT @dr _ morton : Much like Carl Sagan , I believe in Magic . . . Have an #AWESOME Day ! ; - ) http://t.co/fNSIAuczSk Which word(s) correspond to the person in the sentence? Answer: Carl Sagan",person,399190.jpg
RT @HandLUpdates : Larry last night were happy af http://t.co/HM0Rvicokj Which word(s) correspond to the person in the sentence? ,Larry,RT @HandLUpdates : Larry last night were happy af http://t.co/HM0Rvicokj Which word(s) correspond to the person in the sentence? Answer: Larry,person,1908462.jpg
RT @ianbremmer : Who Owns Greek Debt 1 Germany 2 France 3 Italy 4 Spain 5 IMF http://t.co/gWgYc8AWc3 Which word(s) correspond to the location in the sentence? ,Germany,RT @ianbremmer : Who Owns Greek Debt 1 Germany 2 France 3 Italy 4 Spain 5 IMF http://t.co/gWgYc8AWc3 Which word(s) correspond to the location in the sentence? Answer: Germany,location,809435.jpg
Charlotte ? http://t.co/KDzV4A6kNR Which word(s) correspond to the location in the sentence? ,Charlotte,Charlotte ? http://t.co/KDzV4A6kNR Which word(s) correspond to the location in the sentence? Answer: Charlotte,location,73553.jpg
"Watch out @goop , Lena Dunham is launching a lifestyle newsletter http://t.co/VPsx79y1w4 I @lennyletter http://t.co/r7dz7wBmdh Which word(s) correspond to the person in the sentence? ",Lena Dunham,"Watch out @goop , Lena Dunham is launching a lifestyle newsletter http://t.co/VPsx79y1w4 I @lennyletter http://t.co/r7dz7wBmdh Which word(s) correspond to the person in the sentence? Answer: Lena Dunham",person,665455.jpg
RT @dailynation : NBK suspends CFO over alleged links to Mumias fiasco http://t.co/girXL3HpcB http://t.co/lDTkj9VMUI Which word(s) correspond to the organization in the sentence? ,NBK,RT @dailynation : NBK suspends CFO over alleged links to Mumias fiasco http://t.co/girXL3HpcB http://t.co/lDTkj9VMUI Which word(s) correspond to the organization in the sentence? Answer: NBK,organization,970880.jpg
RT @hahnsmith : Minnie enjoying his first morning at the lake . http://t.co/03EonY6uaf Which word(s) correspond to the misceallonous entity in the sentence? ,Minnie,RT @hahnsmith : Minnie enjoying his first morning at the lake . http://t.co/03EonY6uaf Which word(s) correspond to the misceallonous entity in the sentence? Answer: Minnie,misceallonous entity,1311544.jpg
#wheatharvest14 on the way in Essex . @simard _ 482 http://t.co/m9KiUidnw7 Which word(s) correspond to the location in the sentence? ,Essex,#wheatharvest14 on the way in Essex . @simard _ 482 http://t.co/m9KiUidnw7 Which word(s) correspond to the location in the sentence? Answer: Essex,location,126187.jpg
At the Naperville #art walk right meow . http://t.co/uuTbNmaHXj Which word(s) correspond to the location in the sentence? ,Naperville,At the Naperville #art walk right meow . http://t.co/uuTbNmaHXj Which word(s) correspond to the location in the sentence? Answer: Naperville,location,15173.jpg
RT @ScottFeinberg : This is Telluride http://t.co/WLmiOMXtur Which word(s) correspond to the location in the sentence? ,Telluride,RT @ScottFeinberg : This is Telluride http://t.co/WLmiOMXtur Which word(s) correspond to the location in the sentence? Answer: Telluride,location,1973760.jpg
"@MikeAndMike : Kevin Durant being out for season , KD needs bone graft surgery , out 4-6 months . http://t.co/rZOGclmlKT Hope he makes it back. Which word(s) correspond to the person in the sentence? ",Kevin Durant,"@MikeAndMike : Kevin Durant being out for season , KD needs bone graft surgery , out 4-6 months . http://t.co/rZOGclmlKT Hope he makes it back. Which word(s) correspond to the person in the sentence? Answer: Kevin Durant",person,62902.jpg
Why would I go Black Friday shopping when I can watch minecraft youtube videos with my nephew http://t.co/QWiTJkwOzX Which word(s) correspond to the misceallonous entity in the sentence? ,Black Friday,Why would I go Black Friday shopping when I can watch minecraft youtube videos with my nephew http://t.co/QWiTJkwOzX Which word(s) correspond to the misceallonous entity in the sentence? Answer: Black Friday,misceallonous entity,14628.jpg
Crazy hair day ! Lydia is a contender . : ) http://t.co/IRgvr1Bsq7 Which word(s) correspond to the person in the sentence? ,Lydia,Crazy hair day ! Lydia is a contender . : ) http://t.co/IRgvr1Bsq7 Which word(s) correspond to the person in the sentence? Answer: Lydia,person,1739565.jpg
RT @UNEP : Read : UNEP helps financiers make case for forests : http://t.co/t8ST5J1YWN @unredd #greeneconomy http://t.co/Z7ATiCYQWz Which word(s) correspond to the organization in the sentence? ,UNEP,RT @UNEP : Read : UNEP helps financiers make case for forests : http://t.co/t8ST5J1YWN @unredd #greeneconomy http://t.co/Z7ATiCYQWz Which word(s) correspond to the organization in the sentence? Answer: UNEP,organization,1110566.jpg
I am Jerry and I am one month old http://t.co/xmL9Ym0U5S Which word(s) correspond to the misceallonous entity in the sentence? ,Jerry,I am Jerry and I am one month old http://t.co/xmL9Ym0U5S Which word(s) correspond to the misceallonous entity in the sentence? Answer: Jerry,misceallonous entity,1312471.jpg
"Tucker , going in for the kill . http://t.co/uA5vrRMz4z Which word(s) correspond to the person in the sentence? ",Tucker,"Tucker , going in for the kill . http://t.co/uA5vrRMz4z Which word(s) correspond to the person in the sentence? Answer: Tucker",person,718727.jpg
How happy is Icardi to have an Inter home shirt with a collar for 2 years running ? The man loves a popped collar . http://t.co/nbSH3C1Ht0 Which word(s) correspond to the person in the sentence? ,Icardi,How happy is Icardi to have an Inter home shirt with a collar for 2 years running ? The man loves a popped collar . http://t.co/nbSH3C1Ht0 Which word(s) correspond to the person in the sentence? Answer: Icardi,person,616892.jpg
"RT @DailyRapPics : Geto Boys . 5th Ward , Houston , TX . 1995 . http://t.co/2XQyBBuUmn Which word(s) correspond to the organization in the sentence? ",Geto Boys,"RT @DailyRapPics : Geto Boys . 5th Ward , Houston , TX . 1995 . http://t.co/2XQyBBuUmn Which word(s) correspond to the organization in the sentence? Answer: Geto Boys",organization,451614.jpg
Tornado Warning for Salem County in Southern NJ until 5pm . @PIX11News http://t.co/QR978g5g11 Which word(s) correspond to the misceallonous entity in the sentence? ,Tornado Warning,Tornado Warning for Salem County in Southern NJ until 5pm . @PIX11News http://t.co/QR978g5g11 Which word(s) correspond to the misceallonous entity in the sentence? Answer: Tornado Warning,misceallonous entity,478477.jpg
We can do it in Essex County too ! ! #ontag #P0216 @simard _ 482 @SantoChad @DuPontPioneer @connerpeelar http://t.co/bHHVL7dZVX Which word(s) correspond to the location in the sentence? ,Essex County,We can do it in Essex County too ! ! #ontag #P0216 @simard _ 482 @SantoChad @DuPontPioneer @connerpeelar http://t.co/bHHVL7dZVX Which word(s) correspond to the location in the sentence? Answer: Essex County,location,126172.jpg
"RT @TIME : PHOTOS : Nelson Mandela , from prisoner to president http://t.co/aPwnXjiYV5 (Image: @AP) http://t.co/0VDMwVnmb0 Which word(s) correspond to the person in the sentence? ",Nelson Mandela,"RT @TIME : PHOTOS : Nelson Mandela , from prisoner to president http://t.co/aPwnXjiYV5 (Image: @AP) http://t.co/0VDMwVnmb0 Which word(s) correspond to the person in the sentence? Answer: Nelson Mandela",person,20316.jpg
"To be a writer does not mean to preach a truth , it means to discover a truth . Milan Kundera #amwriting #writing http://t.co/Gt4ytXJuD4 Which word(s) correspond to the person in the sentence? ",Milan Kundera,"To be a writer does not mean to preach a truth , it means to discover a truth . Milan Kundera #amwriting #writing http://t.co/Gt4ytXJuD4 Which word(s) correspond to the person in the sentence? Answer: Milan Kundera",person,734561.jpg
RT @ltsChuckBass : I am Serena http://t.co/OBRvegRoNf Which word(s) correspond to the person in the sentence? ,Serena,RT @ltsChuckBass : I am Serena http://t.co/OBRvegRoNf Which word(s) correspond to the person in the sentence? Answer: Serena,person,459056.jpg
RT @BrankoMilan : West is still much richer than Asia but that advantage is being eroded . http://t.co/3OpNnQpK5M http://t.co/CgFvazt80n Which word(s) correspond to the location in the sentence? ,West,RT @BrankoMilan : West is still much richer than Asia but that advantage is being eroded . http://t.co/3OpNnQpK5M http://t.co/CgFvazt80n Which word(s) correspond to the location in the sentence? Answer: West,location,1806673.jpg
RT @SaharaReporters : Scene of bus station bombing in Maiduguri http://t.co/Z9wgMchAG3 Which word(s) correspond to the location in the sentence? ,Maiduguri,RT @SaharaReporters : Scene of bus station bombing in Maiduguri http://t.co/Z9wgMchAG3 Which word(s) correspond to the location in the sentence? Answer: Maiduguri,location,30691.jpg
RT @ermnarry : Retweet if they are your source of happiness #Vote1D #KCA http://t.co/nNZi9oo306 Which word(s) correspond to the misceallonous entity in the sentence? ,#KCA,RT @ermnarry : Retweet if they are your source of happiness #Vote1D #KCA http://t.co/nNZi9oo306 Which word(s) correspond to the misceallonous entity in the sentence? Answer: #KCA,misceallonous entity,926460.jpg
"A firm stance against Putin requires leadership , not soldiers . Putin knows Obama lacks both . http://t.co/hM5NIXBiBl http://t.co/VTC8zuID5Q Which word(s) correspond to the person in the sentence? ",Putin,"A firm stance against Putin requires leadership , not soldiers . Putin knows Obama lacks both . http://t.co/hM5NIXBiBl http://t.co/VTC8zuID5Q Which word(s) correspond to the person in the sentence? Answer: Putin",person,594660.jpg
Suspect Released in Torun Center Workplace Murder Case http://t.co/kJayaWEUJ5 http://t.co/BMnefsg8cg Which word(s) correspond to the location in the sentence? ,Torun,Suspect Released in Torun Center Workplace Murder Case http://t.co/kJayaWEUJ5 http://t.co/BMnefsg8cg Which word(s) correspond to the location in the sentence? Answer: Torun,location,610354.jpg
Microsoft is Suddenly Dangerous to Apple and Google http://t.co/u00XZUlj8s http://t.co/YEDYdvdrWe Which word(s) correspond to the organization in the sentence? ,Microsoft,Microsoft is Suddenly Dangerous to Apple and Google http://t.co/u00XZUlj8s http://t.co/YEDYdvdrWe Which word(s) correspond to the organization in the sentence? Answer: Microsoft,organization,35569.jpg
RT @Ahmed91Gooner : Koscielny is back . ( Via @Stuart _ PhotoAFC ) http://t.co/Phd3bNyPln Which word(s) correspond to the person in the sentence? ,Koscielny,RT @Ahmed91Gooner : Koscielny is back . ( Via @Stuart _ PhotoAFC ) http://t.co/Phd3bNyPln Which word(s) correspond to the person in the sentence? Answer: Koscielny,person,1444667.jpg
RT @FromEmmaJ : Congrats to @Pharrell for his star on Hollywood Walk of Fame ! http://t.co/ndxlSDvzNT Which word(s) correspond to the misceallonous entity in the sentence? ,Hollywood Fame of Walk,RT @FromEmmaJ : Congrats to @Pharrell for his star on Hollywood Walk of Fame ! http://t.co/ndxlSDvzNT Which word(s) correspond to the misceallonous entity in the sentence? Answer: Hollywood Fame of Walk,misceallonous entity,428281.jpg
RT @BestMusicLyric : Pink Floyd http://t.co/QgGvD5xPUt Which word(s) correspond to the organization in the sentence? ,Pink Floyd,RT @BestMusicLyric : Pink Floyd http://t.co/QgGvD5xPUt Which word(s) correspond to the organization in the sentence? Answer: Pink Floyd,organization,8158.jpg
The American Bar Association today called for an end to life-without-parole sentences for kids Via @theCFSY #EndJLWOP http://t.co/IPdPdhrIuV Which word(s) correspond to the organization in the sentence? ,The Association Bar American,The American Bar Association today called for an end to life-without-parole sentences for kids Via @theCFSY #EndJLWOP http://t.co/IPdPdhrIuV Which word(s) correspond to the organization in the sentence? Answer: The Association Bar American,organization,178776.jpg
"RT @jelani9 : Crowd a SC Capitol is several hundred people &amp ; about 65 % white . Chanting "" Take it Down . "" #Charleston http://t.co/ha8KkBW5K0 Which word(s) correspond to the misceallonous entity in the sentence? ",SC Capitol,"RT @jelani9 : Crowd a SC Capitol is several hundred people &amp ; about 65 % white . Chanting "" Take it Down . "" #Charleston http://t.co/ha8KkBW5K0 Which word(s) correspond to the misceallonous entity in the sentence? Answer: SC Capitol",misceallonous entity,15505.jpg
Buddha-Bar Hotel Paris http://t.co/oZyHL06rE3 via @olielo_travels http://t.co/rv0SoItLzE Which word(s) correspond to the location in the sentence? ,Buddha-Bar Paris Hotel,Buddha-Bar Hotel Paris http://t.co/oZyHL06rE3 via @olielo_travels http://t.co/rv0SoItLzE Which word(s) correspond to the location in the sentence? Answer: Buddha-Bar Paris Hotel,location,116178.jpg
Atlantic city nj http://t.co/U1N5YQqjhX Which word(s) correspond to the location in the sentence? ,Atlantic,Atlantic city nj http://t.co/U1N5YQqjhX Which word(s) correspond to the location in the sentence? Answer: Atlantic,location,74386.jpg
"RT @artoftheserpent : Claude Monet , 1881 , oil on canvas Sea Study Waves Breaking Rough Sea http://t.co/8XwV8bt59H Which word(s) correspond to the person in the sentence? ",Claude Monet,"RT @artoftheserpent : Claude Monet , 1881 , oil on canvas Sea Study Waves Breaking Rough Sea http://t.co/8XwV8bt59H Which word(s) correspond to the person in the sentence? Answer: Claude Monet",person,65241.jpg
RT @latimesphotos : How @rdaphoto63 shot Al Pacino http://t.co/gDgy9aN2ZQ Includes lighting diagram. http://t.co/xVMLD9okcA Which word(s) correspond to the person in the sentence? ,Al Pacino,RT @latimesphotos : How @rdaphoto63 shot Al Pacino http://t.co/gDgy9aN2ZQ Includes lighting diagram. http://t.co/xVMLD9okcA Which word(s) correspond to the person in the sentence? Answer: Al Pacino,person,71463.jpg
Good day I am Copper James http://t.co/rSnDvH8dhr Which word(s) correspond to the misceallonous entity in the sentence? ,Copper James,Good day I am Copper James http://t.co/rSnDvH8dhr Which word(s) correspond to the misceallonous entity in the sentence? Answer: Copper James,misceallonous entity,1315056.jpg
RT @mashable : The UK political map now looks a lot like Maggie Simpson http://t.co/dnXTikUYoo http://t.co/KMk4BSOAwv Which word(s) correspond to the location in the sentence? ,The UK,RT @mashable : The UK political map now looks a lot like Maggie Simpson http://t.co/dnXTikUYoo http://t.co/KMk4BSOAwv Which word(s) correspond to the location in the sentence? Answer: The UK,location,50098.jpg
"Chickchaw Press will be at @OCZineFest Sun , July 19 @Occcart #SantaAna #OCZineFest #zinefest http://t.co/UH3t1jTzQU Which word(s) correspond to the organization in the sentence? ",Chickchaw Press,"Chickchaw Press will be at @OCZineFest Sun , July 19 @Occcart #SantaAna #OCZineFest #zinefest http://t.co/UH3t1jTzQU Which word(s) correspond to the organization in the sentence? Answer: Chickchaw Press",organization,481746.jpg
"Pub of the week : The Jersey Lily , Whiteladies Road . http://t.co/RZXNktpqJk Which word(s) correspond to the location in the sentence? ",the,"Pub of the week : The Jersey Lily , Whiteladies Road . http://t.co/RZXNktpqJk Which word(s) correspond to the location in the sentence? Answer: the",location,903419.jpg
RT @Chandanrtcs : Little Peanut by LisaHolloway http://t.co/Uk5SpJvHDZ Which word(s) correspond to the person in the sentence? ,LisaHolloway,RT @Chandanrtcs : Little Peanut by LisaHolloway http://t.co/Uk5SpJvHDZ Which word(s) correspond to the person in the sentence? Answer: LisaHolloway,person,117073.jpg
2 cells have popped up by the GWB and drifting are through the South Bronx . @PIX11News http://t.co/EmzgiakUaK Which word(s) correspond to the location in the sentence? ,GWB,2 cells have popped up by the GWB and drifting are through the South Bronx . @PIX11News http://t.co/EmzgiakUaK Which word(s) correspond to the location in the sentence? Answer: GWB,location,477511.jpg
Nintendo CEO Who Broad . . . http://t.co/q5ClE9Oomk #Marketing #Socialmedia #Mercadotecnia | https://t.co/cyAF0hSUes http://t.co/HfCxmQ0l4C Which word(s) correspond to the organization in the sentence? ,Nintendo,Nintendo CEO Who Broad . . . http://t.co/q5ClE9Oomk #Marketing #Socialmedia #Mercadotecnia | https://t.co/cyAF0hSUes http://t.co/HfCxmQ0l4C Which word(s) correspond to the organization in the sentence? Answer: Nintendo,organization,842943.jpg
USA ! USA ! Fans in Chicago watch the #USWNT win the World Cup . #SheBelieves http://t.co/X5z1mLft3T Which word(s) correspond to the location in the sentence? ,USA,USA ! USA ! Fans in Chicago watch the #USWNT win the World Cup . #SheBelieves http://t.co/X5z1mLft3T Which word(s) correspond to the location in the sentence? Answer: USA,location,70725.jpg
"RT @laloalcaraz : I just drew this on a plane to Houston , please share for #CharlieHebdo http://t.co/am5kRYvYZV Which word(s) correspond to the location in the sentence? ",Houston,"RT @laloalcaraz : I just drew this on a plane to Houston , please share for #CharlieHebdo http://t.co/am5kRYvYZV Which word(s) correspond to the location in the sentence? Answer: Houston",location,122144.jpg
"Ghostly figure in bottom left window , Bramshill House http://t.co/QvvcjF69pH Which word(s) correspond to the location in the sentence? ",Bramshill House,"Ghostly figure in bottom left window , Bramshill House http://t.co/QvvcjF69pH Which word(s) correspond to the location in the sentence? Answer: Bramshill House",location,1083334.jpg
RT @IndyTech : Sony has called off its plan to release the PS4 in China http://t.co/W6pVvohJ9h http://t.co/0XtxWVzuBx Which word(s) correspond to the organization in the sentence? ,Sony,RT @IndyTech : Sony has called off its plan to release the PS4 in China http://t.co/W6pVvohJ9h http://t.co/0XtxWVzuBx Which word(s) correspond to the organization in the sentence? Answer: Sony,organization,1330223.jpg
